"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2011年3月","01000","北海道","1832380",""
"2011年4月","01000","北海道","1270010",""
"2011年5月","01000","北海道","1961190",""
"2011年6月","01000","北海道","2249470",""
"2011年7月","01000","北海道","2870520",""
"2011年8月","01000","北海道","3401610",""
"2011年9月","01000","北海道","2888690",""
"2011年10月","01000","北海道","2558220",""
"2011年11月","01000","北海道","1805360",""
"2011年12月","01000","北海道","1987490",""
"2012年1月","01000","北海道","2109240",""
"2012年2月","01000","北海道","2106690",""
"2012年3月","01000","北海道","2014580",""
"2012年4月","01000","北海道","1511590",""
"2012年5月","01000","北海道","2158760",""
"2012年6月","01000","北海道","2523240",""
"2012年7月","01000","北海道","3019180",""
"2012年8月","01000","北海道","3548000",""
"2012年9月","01000","北海道","2836290",""
"2012年10月","01000","北海道","2731560",""
"2012年11月","01000","北海道","1921630",""
"2012年12月","01000","北海道","2111120",""
"2013年1月","01000","北海道","2098160",""
"2013年2月","01000","北海道","2278420",""
"2013年3月","01000","北海道","2146550",""
"2013年4月","01000","北海道","1609610",""
"2013年5月","01000","北海道","2296480",""
"2013年6月","01000","北海道","2687180",""
"2013年7月","01000","北海道","3479390",""
"2013年8月","01000","北海道","4001680",""
"2013年9月","01000","北海道","3199070",""
"2013年10月","01000","北海道","2836240",""
"2013年11月","01000","北海道","2100760",""
"2013年12月","01000","北海道","2236940",""
"2014年1月","01000","北海道","2341600",""
"2014年2月","01000","北海道","2415450",""
"2014年3月","01000","北海道","2322660",""
"2014年4月","01000","北海道","1645060",""
"2014年5月","01000","北海道","2527300",""
"2014年6月","01000","北海道","2606660",""
"2014年7月","01000","北海道","3308490",""
"2014年8月","01000","北海道","3633000",""
"2014年9月","01000","北海道","2993090",""
"2014年10月","01000","北海道","2725630",""
"2014年11月","01000","北海道","2130200",""
"2014年12月","01000","北海道","2329930",""
"2015年1月","01000","北海道","2393470",""
"2015年2月","01000","北海道","2600850",""
"2015年3月","01000","北海道","2344590",""
"2015年4月","01000","北海道","1765940",""
"2015年5月","01000","北海道","2585220",""
"2015年6月","01000","北海道","2755130",""
"2015年7月","01000","北海道","3480910",""
"2015年8月","01000","北海道","3772580",""
"2015年9月","01000","北海道","3161160",""
"2015年10月","01000","北海道","2992960",""
"2015年11月","01000","北海道","2183590",""
"2015年12月","01000","北海道","2554670",""
"2016年1月","01000","北海道","2724880",""
"2016年2月","01000","北海道","2850160",""
"2016年3月","01000","北海道","2461730",""
"2016年4月","01000","北海道","1967450",""
"2016年5月","01000","北海道","2580950",""
"2016年6月","01000","北海道","2848940",""
"2016年7月","01000","北海道","3479170",""
"2016年8月","01000","北海道","3723560",""
"2016年9月","01000","北海道","3179770",""
"2016年10月","01000","北海道","2918530",""
"2016年11月","01000","北海道","2174530",""
"2016年12月","01000","北海道","2644810",""
"2017年1月","01000","北海道","2920690",""
"2017年2月","01000","北海道","2910270",""
"2017年3月","01000","北海道","2665550",""
"2017年4月","01000","北海道","2120350",""
"2017年5月","01000","北海道","2795280",""
"2017年6月","01000","北海道","3022820",""
"2017年7月","01000","北海道","3660520",""
"2017年8月","01000","北海道","3976140",""
"2017年9月","01000","北海道","3278760",""
"2017年10月","01000","北海道","3081160",""
"2017年11月","01000","北海道","2334600",""
"2017年12月","01000","北海道","2790820",""
"2018年1月","01000","北海道","3017390",""
"2018年2月","01000","北海道","3084420",""
"2018年3月","01000","北海道","2740050",""
"2018年4月","01000","北海道","2135820",""
"2018年5月","01000","北海道","2731360",""
"2018年6月","01000","北海道","3095940",""
"2018年7月","01000","北海道","3626480",""
"2018年8月","01000","北海道","3952410",""
"2018年9月","01000","北海道","2547810",""
"2018年10月","01000","北海道","2886370",""
"2018年11月","01000","北海道","2505860",""
"2018年12月","01000","北海道","2984680",""
"2019年1月","01000","北海道","3195090",""
"2019年2月","01000","北海道","3211400",""
"2019年3月","01000","北海道","2878620",""
"2019年4月","01000","北海道","2415820",""
"2019年5月","01000","北海道","3016680",""
"2019年6月","01000","北海道","3086700",""
"2019年7月","01000","北海道","3634090",""
"2019年8月","01000","北海道","3916250",""
"2019年9月","01000","北海道","3247260",""
"2019年10月","01000","北海道","3046530",""
"2019年11月","01000","北海道","2458660",""
"2019年12月","01000","北海道","2876320",""
"2020年1月","01000","北海道","3005740","速報"
"2020年2月","01000","北海道","2432380","速報"
"2020年3月","01000","北海道","951200","速報"
"2020年4月","01000","北海道","542920","速報"
"2020年5月","01000","北海道","436840","速報"
"2020年6月","01000","北海道","786910","速報"
"2020年7月","01000","北海道","1475290","速報"
"2020年8月","01000","北海道","1951800","速報"
"2020年9月","01000","北海道","1999610","速報"
"2020年10月","01000","北海道","2291050","速報"
"2020年11月","01000","北海道","1547130","速報"
"2020年12月","01000","北海道","1044220","速報"
"2007年1月","02000","青森県","188050",""
"2007年2月","02000","青森県","197950",""
"2007年3月","02000","青森県","202430",""
"2007年4月","02000","青森県","213150",""
"2007年5月","02000","青森県","274070",""
"2007年6月","02000","青森県","267970",""
"2007年7月","02000","青森県","293020",""
"2007年8月","02000","青森県","389110",""
"2007年9月","02000","青森県","331740",""
"2007年10月","02000","青森県","351270",""
"2007年11月","02000","青森県","244670",""
"2007年12月","02000","青森県","199140",""
"2008年1月","02000","青森県","178220",""
"2008年2月","02000","青森県","188730",""
"2008年3月","02000","青森県","207920",""
"2008年4月","02000","青森県","228430",""
"2008年5月","02000","青森県","303620",""
"2008年6月","02000","青森県","295720",""
"2008年7月","02000","青森県","275310",""
"2008年8月","02000","青森県","341100",""
"2008年9月","02000","青森県","277010",""
"2008年10月","02000","青森県","329380",""
"2008年11月","02000","青森県","227000",""
"2008年12月","02000","青森県","183360",""
"2009年1月","02000","青森県","196470",""
"2009年2月","02000","青森県","192340",""
"2009年3月","02000","青森県","195200",""
"2009年4月","02000","青森県","248700",""
"2009年5月","02000","青森県","324300",""
"2009年6月","02000","青森県","310460",""
"2009年7月","02000","青森県","335130",""
"2009年8月","02000","青森県","431460",""
"2009年9月","02000","青森県","379980",""
"2009年10月","02000","青森県","398490",""
"2009年11月","02000","青森県","256460",""
"2009年12月","02000","青森県","201350",""
"2010年1月","02000","青森県","212550",""
"2010年2月","02000","青森県","225260",""
"2010年3月","02000","青森県","235200",""
"2010年4月","02000","青森県","237960",""
"2010年5月","02000","青森県","324120",""
"2010年6月","02000","青森県","318910",""
"2010年7月","02000","青森県","341120",""
"2010年8月","02000","青森県","418490",""
"2010年9月","02000","青森県","337920",""
"2010年10月","02000","青森県","377970",""
"2010年11月","02000","青森県","270190",""
"2010年12月","02000","青森県","240740",""
"2011年1月","02000","青森県","326290",""
"2011年2月","02000","青森県","337730",""
"2011年3月","02000","青森県","235520",""
"2011年4月","02000","青森県","267160",""
"2011年5月","02000","青森県","371940",""
"2011年6月","02000","青森県","388250",""
"2011年7月","02000","青森県","478570",""
"2011年8月","02000","青森県","591000",""
"2011年9月","02000","青森県","449670",""
"2011年10月","02000","青森県","430160",""
"2011年11月","02000","青森県","318600",""
"2011年12月","02000","青森県","287050",""
"2012年1月","02000","青森県","250120",""
"2012年2月","02000","青森県","266950",""
"2012年3月","02000","青森県","276430",""
"2012年4月","02000","青森県","274140",""
"2012年5月","02000","青森県","408730",""
"2012年6月","02000","青森県","403040",""
"2012年7月","02000","青森県","428330",""
"2012年8月","02000","青森県","567640",""
"2012年9月","02000","青森県","444900",""
"2012年10月","02000","青森県","496330",""
"2012年11月","02000","青森県","392280",""
"2012年12月","02000","青森県","337570",""
"2013年1月","02000","青森県","278770",""
"2013年2月","02000","青森県","274550",""
"2013年3月","02000","青森県","288890",""
"2013年4月","02000","青森県","321820",""
"2013年5月","02000","青森県","452380",""
"2013年6月","02000","青森県","409840",""
"2013年7月","02000","青森県","456390",""
"2013年8月","02000","青森県","577860",""
"2013年9月","02000","青森県","453150",""
"2013年10月","02000","青森県","502430",""
"2013年11月","02000","青森県","398860",""
"2013年12月","02000","青森県","344810",""
"2014年1月","02000","青森県","277230",""
"2014年2月","02000","青森県","262240",""
"2014年3月","02000","青森県","284030",""
"2014年4月","02000","青森県","305570",""
"2014年5月","02000","青森県","419180",""
"2014年6月","02000","青森県","388040",""
"2014年7月","02000","青森県","444250",""
"2014年8月","02000","青森県","543790",""
"2014年9月","02000","青森県","458170",""
"2014年10月","02000","青森県","490230",""
"2014年11月","02000","青森県","348510",""
"2014年12月","02000","青森県","290020",""
"2015年1月","02000","青森県","287490",""
"2015年2月","02000","青森県","295480",""
"2015年3月","02000","青森県","314860",""
"2015年4月","02000","青森県","334630",""
"2015年5月","02000","青森県","452100",""
"2015年6月","02000","青森県","408530",""
"2015年7月","02000","青森県","487990",""
"2015年8月","02000","青森県","599420",""
"2015年9月","02000","青森県","518900",""
"2015年10月","02000","青森県","548970",""
"2015年11月","02000","青森県","413870",""
