variable	year	city	value
Gas	2014	Takamatsu-shi	4334
Other fuel & light	2014	Takamatsu-shi	1211
Water & sewerage charges	2014	Takamatsu-shi	3918
Furniture & household utensils	2014	Takamatsu-shi	9310
Household durable goods	2014	Takamatsu-shi	2570
Durable goods assisting housework	2014	Takamatsu-shi	1408
Heating & cooling appliances	2014	Takamatsu-shi	652
General furniture	2014	Takamatsu-shi	510
Interior furnishings & decorations	2014	Takamatsu-shi	1144
Bedding	2014	Takamatsu-shi	748
Domestic utensils	2014	Takamatsu-shi	1546
Domestic non-durable goods	2014	Takamatsu-shi	2110
Domestic services	2014	Takamatsu-shi	1193
Clothing & footwear	2014	Takamatsu-shi	10177
Japanese clothing	2014	Takamatsu-shi	484
Clothing	2014	Takamatsu-shi	3710
Shirts & sweaters	2014	Takamatsu-shi	2442
Underwear	2014	Takamatsu-shi	848
Cloth & thread	2014	Takamatsu-shi	67
Other clothing	2014	Takamatsu-shi	938
Footwear	2014	Takamatsu-shi	1179
Services related to clothing	2014	Takamatsu-shi	508
Medical care	2014	Takamatsu-shi	11136
Medicines	2014	Takamatsu-shi	1953
Health fortification	2014	Takamatsu-shi	1255
Medical supplies & appliances	2014	Takamatsu-shi	2394
Medical services	2014	Takamatsu-shi	5534
Transportation & communication	2014	Takamatsu-shi	37897
Public transportation	2014	Takamatsu-shi	4007
Private transportation	2014	Takamatsu-shi	21945
Purchase of vehicles	2014	Takamatsu-shi	6425
Purchase of bicycles	2014	Takamatsu-shi	246
Maintenance of vehicles	2014	Takamatsu-shi	15273
Communication	2014	Takamatsu-shi	11945
Education	2014	Takamatsu-shi	7293
Culture & recreation	2014	Takamatsu-shi	25801
Recreational durable goods	2014	Takamatsu-shi	1600
Recreational goods	2014	Takamatsu-shi	5671
Books & other reading materials	2014	Takamatsu-shi	3445
Recreational services	2014	Takamatsu-shi	15085
Accommodation services	2014	Takamatsu-shi	1081
Package tours	2014	Takamatsu-shi	3394
Lesson fees	2014	Takamatsu-shi	3450
Other recreational services	2014	Takamatsu-shi	7160
Other consumption expenditures	2014	Takamatsu-shi	69116
Miscellaneous	2014	Takamatsu-shi	23733
Personal care services	2014	Takamatsu-shi	3035
Personal care goods	2014	Takamatsu-shi	4223
Personal effects	2014	Takamatsu-shi	1817
Tobacco	2014	Takamatsu-shi	1678
Other miscellaneous	2014	Takamatsu-shi	12981
Pocket money (of which, detailed uses unknown)	2014	Takamatsu-shi	16729
Social expenses	2014	Takamatsu-shi	21462
Other goods & services	2014	Takamatsu-shi	648
Money gifts	2014	Takamatsu-shi	8815
Other social expenses	2014	Takamatsu-shi	2967
Remittance	2014	Takamatsu-shi	7191
(Regrouped) Expenses for education	2014	Takamatsu-shi	15181
(Regrouped) Expenses for culture & recreation	2014	Takamatsu-shi	29535
(Regrouped) Intel exchange	2014	Takamatsu-shi	15064
(Regrouped) Expense (except housing)	2014	Takamatsu-shi	224673
(Regrouped) Sum of Goods & Services 1)	2014	Takamatsu-shi	223273
Goods (commodities)	2014	Takamatsu-shi	130787
Durable goods	2014	Takamatsu-shi	16008
Semi-durable goods	2014	Takamatsu-shi	20372
Non-durable goods	2014	Takamatsu-shi	94408
Services	2014	Takamatsu-shi	92486
Expenditures in kind	2014	Takamatsu-shi	9078
Homemade	2014	Takamatsu-shi	388
Engel's coefficient (%)	2014	Takamatsu-shi	22.1
Distribution of households	2014	Matsuyama-shi	36
Num. of tabulated households	2014	Matsuyama-shi	101
Num. of persons per household (persons)	2014	Matsuyama-shi	2.54
Num. of earners per household (persons)	2014	Matsuyama-shi	1.01
Age of household heads (years old)	2014	Matsuyama-shi	56.3
Rate of owned dwellings (%)	2014	Matsuyama-shi	73.9
Rate of rented dwellings & land (%)	2014	Matsuyama-shi	25.6
Consumption expenditures	2014	Matsuyama-shi	234522
Food	2014	Matsuyama-shi	55450
Cereals	2014	Matsuyama-shi	5347
Rice	2014	Matsuyama-shi	1518
Bread	2014	Matsuyama-shi	2415
Noodles	2014	Matsuyama-shi	1094
Other cereals	2014	Matsuyama-shi	320
Fish & shellfish	2014	Matsuyama-shi	4675
Raw fish & shellfish	2014	Matsuyama-shi	2808
Salted & dried fish	2014	Matsuyama-shi	700
Fish-paste products	2014	Matsuyama-shi	745
Other processed fish	2014	Matsuyama-shi	422
Meat	2014	Matsuyama-shi	5838
Raw meat	2014	Matsuyama-shi	4833
Processed meat	2014	Matsuyama-shi	1005
Dairy products & eggs	2014	Matsuyama-shi	2855
Fresh milk	2014	Matsuyama-shi	945
Dairy products	2014	Matsuyama-shi	1252
Eggs	2014	Matsuyama-shi	658
Vegetables & seaweeds	2014	Matsuyama-shi	6042
Fresh vegetables	2014	Matsuyama-shi	4052
Dried vegetables & seaweeds	2014	Matsuyama-shi	491
Soybean products	2014	Matsuyama-shi	861
Other processed vegetables & seaweeds	2014	Matsuyama-shi	638
Fruits	2014	Matsuyama-shi	2010
Fresh fruits	2014	Matsuyama-shi	1889
Processed fruits	2014	Matsuyama-shi	121
Oils, fats & seasonings	2014	Matsuyama-shi	2851
Oils & fats	2014	Matsuyama-shi	301
Seasonings	2014	Matsuyama-shi	2549
Cakes & candies	2014	Matsuyama-shi	4359
Cooked food	2014	Matsuyama-shi	7013
Cooked food with rice, bread or noodles	2014	Matsuyama-shi	3066
Other cooked food	2014	Matsuyama-shi	3947
Beverages	2014	Matsuyama-shi	3490
Tea	2014	Matsuyama-shi	660
Coffee & cocoa	2014	Matsuyama-shi	816
Other beverages	2014	Matsuyama-shi	2014
Alcoholic beverages	2014	Matsuyama-shi	1976
Meals outside the home	2014	Matsuyama-shi	8994
Eating out	2014	Matsuyama-shi	8170
School lunch	2014	Matsuyama-shi	824
Charges for board	2014	Matsuyama-shi	0
Housing	2014	Matsuyama-shi	17195
Rents for dwelling & land	2014	Matsuyama-shi	12929
Repairs & maintenance	2014	Matsuyama-shi	4266
Tools & materials for repairs & maintenance	2014	Matsuyama-shi	558
Service charges for repairs & maintenance	2014	Matsuyama-shi	3708
Fuel, light & water charges	2014	Matsuyama-shi	19330
Electricity	2014	Matsuyama-shi	9446
Gas	2014	Matsuyama-shi	4873
Other fuel & light	2014	Matsuyama-shi	872
Water & sewerage charges	2014	Matsuyama-shi	4139
Furniture & household utensils	2014	Matsuyama-shi	9441
Household durable goods	2014	Matsuyama-shi	3342
Durable goods assisting housework	2014	Matsuyama-shi	1062
Heating & cooling appliances	2014	Matsuyama-shi	2022
General furniture	2014	Matsuyama-shi	258
Interior furnishings & decorations	2014	Matsuyama-shi	641
Bedding	2014	Matsuyama-shi	502
Domestic utensils	2014	Matsuyama-shi	1604
Domestic non-durable goods	2014	Matsuyama-shi	2248
Domestic services	2014	Matsuyama-shi	1105
Clothing & footwear	2014	Matsuyama-shi	9956
Japanese clothing	2014	Matsuyama-shi	440
Clothing	2014	Matsuyama-shi	4006
Shirts & sweaters	2014	Matsuyama-shi	1965
Underwear	2014	Matsuyama-shi	936
Cloth & thread	2014	Matsuyama-shi	98
Other clothing	2014	Matsuyama-shi	730
Footwear	2014	Matsuyama-shi	1241
Services related to clothing	2014	Matsuyama-shi	540
Medical care	2014	Matsuyama-shi	8658
Medicines	2014	Matsuyama-shi	1204
Health fortification	2014	Matsuyama-shi	827
Medical supplies & appliances	2014	Matsuyama-shi	1466
Medical services	2014	Matsuyama-shi	5161
Transportation & communication	2014	Matsuyama-shi	31294
Public transportation	2014	Matsuyama-shi	2300
Private transportation	2014	Matsuyama-shi	16911
Purchase of vehicles	2014	Matsuyama-shi	2950
Purchase of bicycles	2014	Matsuyama-shi	265
Maintenance of vehicles	2014	Matsuyama-shi	13696
Communication	2014	Matsuyama-shi	12083
Education	2014	Matsuyama-shi	8508
Culture & recreation	2014	Matsuyama-shi	21687
Recreational durable goods	2014	Matsuyama-shi	1318
Recreational goods	2014	Matsuyama-shi	4581
Books & other reading materials	2014	Matsuyama-shi	2880
Recreational services	2014	Matsuyama-shi	12908
Accommodation services	2014	Matsuyama-shi	1164
Package tours	2014	Matsuyama-shi	3027
Lesson fees	2014	Matsuyama-shi	2000
Other recreational services	2014	Matsuyama-shi	6717
Other consumption expenditures	2014	Matsuyama-shi	53003
Miscellaneous	2014	Matsuyama-shi	21347
Personal care services	2014	Matsuyama-shi	2431
Personal care goods	2014	Matsuyama-shi	4311
Personal effects	2014	Matsuyama-shi	1204
Tobacco	2014	Matsuyama-shi	709
Other miscellaneous	2014	Matsuyama-shi	12691
Pocket money (of which, detailed uses unknown)	2014	Matsuyama-shi	7357
Social expenses	2014	Matsuyama-shi	19541
Other goods & services	2014	Matsuyama-shi	445
Money gifts	2014	Matsuyama-shi	10323
Other social expenses	2014	Matsuyama-shi	1555
Remittance	2014	Matsuyama-shi	4758
(Regrouped) Expenses for education	2014	Matsuyama-shi	12713
(Regrouped) Expenses for culture & recreation	2014	Matsuyama-shi	23689
(Regrouped) Intel exchange	2014	Matsuyama-shi	15493
(Regrouped) Expense (except housing)	2014	Matsuyama-shi	199296
(Regrouped) Sum of Goods & Services 1)	2014	Matsuyama-shi	210528
Goods (commodities)	2014	Matsuyama-shi	119040
Durable goods	2014	Matsuyama-shi	10934
Semi-durable goods	2014	Matsuyama-shi	18032
Non-durable goods	2014	Matsuyama-shi	90075
Services	2014	Matsuyama-shi	91488
Expenditures in kind	2014	Matsuyama-shi	5513
Homemade	2014	Matsuyama-shi	301
Engel's coefficient (%)	2014	Matsuyama-shi	23.6
Distribution of households	2014	Kochi-shi	26
Num. of tabulated households	2014	Kochi-shi	101
Num. of persons per household (persons)	2014	Kochi-shi	2.33
Num. of earners per household (persons)	2014	Kochi-shi	1.05
Age of household heads (years old)	2014	Kochi-shi	58.8
Rate of owned dwellings (%)	2014	Kochi-shi	73.9
Rate of rented dwellings & land (%)	2014	Kochi-shi	25.1
Consumption expenditures	2014	Kochi-shi	267799
Food	2014	Kochi-shi	59712
Cereals	2014	Kochi-shi	4995
Rice	2014	Kochi-shi	1598
Bread	2014	Kochi-shi	2008
Noodles	2014	Kochi-shi	1078
Other cereals	2014	Kochi-shi	311
Fish & shellfish	2014	Kochi-shi	5501
Raw fish & shellfish	2014	Kochi-shi	3186
Salted & dried fish	2014	Kochi-shi	1079
Fish-paste products	2014	Kochi-shi	730
Other processed fish	2014	Kochi-shi	506
Meat	2014	Kochi-shi	5176
Raw meat	2014	Kochi-shi	4275
Processed meat	2014	Kochi-shi	901
Dairy products & eggs	2014	Kochi-shi	2497
Fresh milk	2014	Kochi-shi	832
Dairy products	2014	Kochi-shi	967
Eggs	2014	Kochi-shi	698
Vegetables & seaweeds	2014	Kochi-shi	6489
Fresh vegetables	2014	Kochi-shi	4414
Dried vegetables & seaweeds	2014	Kochi-shi	499
Soybean products	2014	Kochi-shi	800
Other processed vegetables & seaweeds	2014	Kochi-shi	776
Fruits	2014	Kochi-shi	2115
Fresh fruits	2014	Kochi-shi	1978
Processed fruits	2014	Kochi-shi	138
Oils, fats & seasonings	2014	Kochi-shi	2887
Oils & fats	2014	Kochi-shi	269
Seasonings	2014	Kochi-shi	2617
Cakes & candies	2014	Kochi-shi	3974
Cooked food	2014	Kochi-shi	8463
Cooked food with rice, bread or noodles	2014	Kochi-shi	3846
Other cooked food	2014	Kochi-shi	4617
Beverages	2014	Kochi-shi	3339
Tea	2014	Kochi-shi	644
Coffee & cocoa	2014	Kochi-shi	731
Other beverages	2014	Kochi-shi	1964
Alcoholic beverages	2014	Kochi-shi	3493
Meals outside the home	2014	Kochi-shi	10782
Eating out	2014	Kochi-shi	10401
School lunch	2014	Kochi-shi	381
Charges for board	2014	Kochi-shi	0
Housing	2014	Kochi-shi	18832
Rents for dwelling & land	2014	Kochi-shi	10640
Repairs & maintenance	2014	Kochi-shi	8192
Tools & materials for repairs & maintenance	2014	Kochi-shi	2578
Service charges for repairs & maintenance	2014	Kochi-shi	5614
Fuel, light & water charges	2014	Kochi-shi	19416
Electricity	2014	Kochi-shi	9381
Gas	2014	Kochi-shi	5355
Other fuel & light	2014	Kochi-shi	854
Water & sewerage charges	2014	Kochi-shi	3827
Furniture & household utensils	2014	Kochi-shi	9203
Household durable goods	2014	Kochi-shi	3087
Durable goods assisting housework	2014	Kochi-shi	1372
Heating & cooling appliances	2014	Kochi-shi	1317
General furniture	2014	Kochi-shi	398
Interior furnishings & decorations	2014	Kochi-shi	710
Bedding	2014	Kochi-shi	659
Domestic utensils	2014	Kochi-shi	1749
Domestic non-durable goods	2014	Kochi-shi	2092
Domestic services	2014	Kochi-shi	904
Clothing & footwear	2014	Kochi-shi	9348
Japanese clothing	2014	Kochi-shi	140
Clothing	2014	Kochi-shi	3395
Shirts & sweaters	2014	Kochi-shi	2326
Underwear	2014	Kochi-shi	895
Cloth & thread	2014	Kochi-shi	136
Other clothing	2014	Kochi-shi	783
Footwear	2014	Kochi-shi	1164
Services related to clothing	2014	Kochi-shi	509
Medical care	2014	Kochi-shi	9496
Medicines	2014	Kochi-shi	2115
Health fortification	2014	Kochi-shi	1046
Medical supplies & appliances	2014	Kochi-shi	1600
Medical services	2014	Kochi-shi	4735
Transportation & communication	2014	Kochi-shi	37356
Public transportation	2014	Kochi-shi	3830
Private transportation	2014	Kochi-shi	21310
Purchase of vehicles	2014	Kochi-shi	5199
Purchase of bicycles	2014	Kochi-shi	220
Maintenance of vehicles	2014	Kochi-shi	15891
Communication	2014	Kochi-shi	12217
Education	2014	Kochi-shi	7200
Culture & recreation	2014	Kochi-shi	28143
Recreational durable goods	2014	Kochi-shi	1909
Recreational goods	2014	Kochi-shi	6431
Books & other reading materials	2014	Kochi-shi	3770
Recreational services	2014	Kochi-shi	16033
Accommodation services	2014	Kochi-shi	1384
Package tours	2014	Kochi-shi	2304
Lesson fees	2014	Kochi-shi	2784
Other recreational services	2014	Kochi-shi	9561
Other consumption expenditures	2014	Kochi-shi	69093
Miscellaneous	2014	Kochi-shi	22774
Personal care services	2014	Kochi-shi	2769
Personal care goods	2014	Kochi-shi	4036
Personal effects	2014	Kochi-shi	1349
Tobacco	2014	Kochi-shi	1481
Other miscellaneous	2014	Kochi-shi	13140
Pocket money (of which, detailed uses unknown)	2014	Kochi-shi	14115
Social expenses	2014	Kochi-shi	22539
Other goods & services	2014	Kochi-shi	630
Money gifts	2014	Kochi-shi	10311
Other social expenses	2014	Kochi-shi	3262
Remittance	2014	Kochi-shi	9665
(Regrouped) Expenses for education	2014	Kochi-shi	14841
(Regrouped) Expenses for culture & recreation	2014	Kochi-shi	30515
(Regrouped) Intel exchange	2014	Kochi-shi	15496
(Regrouped) Expense (except housing)	2014	Kochi-shi	223791
(Regrouped) Sum of Goods & Services 1)	2014	Kochi-shi	230445
Goods (commodities)	2014	Kochi-shi	131957
Durable goods	2014	Kochi-shi	14706
Semi-durable goods	2014	Kochi-shi	19702
Non-durable goods	2014	Kochi-shi	97550
Services	2014	Kochi-shi	98488
Expenditures in kind	2014	Kochi-shi	8268
Homemade	2014	Kochi-shi	284
Engel's coefficient (%)	2014	Kochi-shi	22.3
Distribution of households	2014	Fukuoka-shi	122
Num. of tabulated households	2014	Fukuoka-shi	103
Num. of persons per household (persons)	2014	Fukuoka-shi	2.28
Num. of earners per household (persons)	2014	Fukuoka-shi	1.03
Age of household heads (years old)	2014	Fukuoka-shi	56.1
Rate of owned dwellings (%)	2014	Fukuoka-shi	52.2
Rate of rented dwellings & land (%)	2014	Fukuoka-shi	36.2
Consumption expenditures	2014	Fukuoka-shi	247392
Food	2014	Fukuoka-shi	59264
Cereals	2014	Fukuoka-shi	4709
Rice	2014	Fukuoka-shi	1516
Bread	2014	Fukuoka-shi	2006
Noodles	2014	Fukuoka-shi	875
Other cereals	2014	Fukuoka-shi	312
Fish & shellfish	2014	Fukuoka-shi	3932
Raw fish & shellfish	2014	Fukuoka-shi	2317
Salted & dried fish	2014	Fukuoka-shi	670
Fish-paste products	2014	Fukuoka-shi	491
Other processed fish	2014	Fukuoka-shi	454
Meat	2014	Fukuoka-shi	5463
Raw meat	2014	Fukuoka-shi	4507
Processed meat	2014	Fukuoka-shi	956
Dairy products & eggs	2014	Fukuoka-shi	2520
Fresh milk	2014	Fukuoka-shi	859
Dairy products	2014	Fukuoka-shi	1085
Eggs	2014	Fukuoka-shi	577
Vegetables & seaweeds	2014	Fukuoka-shi	6131
Fresh vegetables	2014	Fukuoka-shi	4160
Dried vegetables & seaweeds	2014	Fukuoka-shi	517
Soybean products	2014	Fukuoka-shi	701
Other processed vegetables & seaweeds	2014	Fukuoka-shi	754
Fruits	2014	Fukuoka-shi	1836
Fresh fruits	2014	Fukuoka-shi	1692
Processed fruits	2014	Fukuoka-shi	144
Oils, fats & seasonings	2014	Fukuoka-shi	2361
Oils & fats	2014	Fukuoka-shi	231
Seasonings	2014	Fukuoka-shi	2131
Cakes & candies	2014	Fukuoka-shi	4096
Cooked food	2014	Fukuoka-shi	7063
Cooked food with rice, bread or noodles	2014	Fukuoka-shi	3356
Other cooked food	2014	Fukuoka-shi	3707
Beverages	2014	Fukuoka-shi	3339
Tea	2014	Fukuoka-shi	848
Coffee & cocoa	2014	Fukuoka-shi	731
Other beverages	2014	Fukuoka-shi	1760
Alcoholic beverages	2014	Fukuoka-shi	2164
Meals outside the home	2014	Fukuoka-shi	15567
Eating out	2014	Fukuoka-shi	14773
School lunch	2014	Fukuoka-shi	795
Charges for board	2014	Fukuoka-shi	83
Housing	2014	Fukuoka-shi	19904
Rents for dwelling & land	2014	Fukuoka-shi	14747
Repairs & maintenance	2014	Fukuoka-shi	5158
Tools & materials for repairs & maintenance	2014	Fukuoka-shi	1924
Service charges for repairs & maintenance	2014	Fukuoka-shi	3233
Fuel, light & water charges	2014	Fukuoka-shi	16750
Electricity	2014	Fukuoka-shi	7127
Gas	2014	Fukuoka-shi	5415
Other fuel & light	2014	Fukuoka-shi	375
Water & sewerage charges	2014	Fukuoka-shi	3833
Furniture & household utensils	2014	Fukuoka-shi	8328
Household durable goods	2014	Fukuoka-shi	2764
Durable goods assisting housework	2014	Fukuoka-shi	1247
Heating & cooling appliances	2014	Fukuoka-shi	928
General furniture	2014	Fukuoka-shi	589
Interior furnishings & decorations	2014	Fukuoka-shi	544
Bedding	2014	Fukuoka-shi	565
Domestic utensils	2014	Fukuoka-shi	1635
Domestic non-durable goods	2014	Fukuoka-shi	2031
Domestic services	2014	Fukuoka-shi	790
Clothing & footwear	2014	Fukuoka-shi	11306
Japanese clothing	2014	Fukuoka-shi	89
Clothing	2014	Fukuoka-shi	4766
Shirts & sweaters	2014	Fukuoka-shi	2009
Underwear	2014	Fukuoka-shi	1064
Cloth & thread	2014	Fukuoka-shi	104
Other clothing	2014	Fukuoka-shi	903
Footwear	2014	Fukuoka-shi	1510
Services related to clothing	2014	Fukuoka-shi	861
Medical care	2014	Fukuoka-shi	10855
Medicines	2014	Fukuoka-shi	1919
Health fortification	2014	Fukuoka-shi	1061
Medical supplies & appliances	2014	Fukuoka-shi	1544
Medical services	2014	Fukuoka-shi	6331
Transportation & communication	2014	Fukuoka-shi	30424
Public transportation	2014	Fukuoka-shi	8080
Private transportation	2014	Fukuoka-shi	12766
Purchase of vehicles	2014	Fukuoka-shi	1617
Purchase of bicycles	2014	Fukuoka-shi	159
Maintenance of vehicles	2014	Fukuoka-shi	10989
Communication	2014	Fukuoka-shi	9579
Education	2014	Fukuoka-shi	10424
Culture & recreation	2014	Fukuoka-shi	25458
Recreational durable goods	2014	Fukuoka-shi	2084
Recreational goods	2014	Fukuoka-shi	4581
Books & other reading materials	2014	Fukuoka-shi	3358
Recreational services	2014	Fukuoka-shi	15434
Accommodation services	2014	Fukuoka-shi	1245
Package tours	2014	Fukuoka-shi	2441
Lesson fees	2014	Fukuoka-shi	2919
Other recreational services	2014	Fukuoka-shi	8829
Other consumption expenditures	2014	Fukuoka-shi	54679
Miscellaneous	2014	Fukuoka-shi	23094
Personal care services	2014	Fukuoka-shi	4272
Personal care goods	2014	Fukuoka-shi	4071
Personal effects	2014	Fukuoka-shi	3386
Tobacco	2014	Fukuoka-shi	1174
Other miscellaneous	2014	Fukuoka-shi	10190
Pocket money (of which, detailed uses unknown)	2014	Fukuoka-shi	6209
Social expenses	2014	Fukuoka-shi	22765
Other goods & services	2014	Fukuoka-shi	595
Money gifts	2014	Fukuoka-shi	9333
Other social expenses	2014	Fukuoka-shi	4921
Remittance	2014	Fukuoka-shi	2611
(Regrouped) Expenses for education	2014	Fukuoka-shi	13874
(Regrouped) Expenses for culture & recreation	2014	Fukuoka-shi	31496
(Regrouped) Intel exchange	2014	Fukuoka-shi	12060
(Regrouped) Expense (except housing)	2014	Fukuoka-shi	213926
(Regrouped) Sum of Goods & Services 1)	2014	Fukuoka-shi	224317
Goods (commodities)	2014	Fukuoka-shi	115029
Durable goods	2014	Fukuoka-shi	10238
Semi-durable goods	2014	Fukuoka-shi	21249
Non-durable goods	2014	Fukuoka-shi	83542
Services	2014	Fukuoka-shi	109289
Expenditures in kind	2014	Fukuoka-shi	6642
Homemade	2014	Fukuoka-shi	356
Engel's coefficient (%)	2014	Fukuoka-shi	24
Distribution of households	2014	Saga-shi	28
Num. of tabulated households	2014	Saga-shi	102
Num. of persons per household (persons)	2014	Saga-shi	1.87
Num. of earners per household (persons)	2014	Saga-shi	0.95
Age of household heads (years old)	2014	Saga-shi	59.2
Rate of owned dwellings (%)	2014	Saga-shi	73.4
Rate of rented dwellings & land (%)	2014	Saga-shi	21.6
Consumption expenditures	2014	Saga-shi	200158
Food	2014	Saga-shi	48763
Cereals	2014	Saga-shi	4405
Rice	2014	Saga-shi	1428
Bread	2014	Saga-shi	2033
Noodles	2014	Saga-shi	728
Other cereals	2014	Saga-shi	216
Fish & shellfish	2014	Saga-shi	3822
Raw fish & shellfish	2014	Saga-shi	2435
Salted & dried fish	2014	Saga-shi	510
Fish-paste products	2014	Saga-shi	526
Other processed fish	2014	Saga-shi	352
Meat	2014	Saga-shi	3798
Raw meat	2014	Saga-shi	3098
Processed meat	2014	Saga-shi	699
Dairy products & eggs	2014	Saga-shi	2057
Fresh milk	2014	Saga-shi	831
Dairy products	2014	Saga-shi	743
Eggs	2014	Saga-shi	483
Vegetables & seaweeds	2014	Saga-shi	4787
Fresh vegetables	2014	Saga-shi	3118
Dried vegetables & seaweeds	2014	Saga-shi	315
Soybean products	2014	Saga-shi	692
Other processed vegetables & seaweeds	2014	Saga-shi	663
Fruits	2014	Saga-shi	1478
Fresh fruits	2014	Saga-shi	1360
Processed fruits	2014	Saga-shi	118
Oils, fats & seasonings	2014	Saga-shi	1912
Oils & fats	2014	Saga-shi	170
Seasonings	2014	Saga-shi	1741
Cakes & candies	2014	Saga-shi	3100
Cooked food	2014	Saga-shi	6569
Cooked food with rice, bread or noodles	2014	Saga-shi	3053
Other cooked food	2014	Saga-shi	3516
Beverages	2014	Saga-shi	3043
Tea	2014	Saga-shi	826
Coffee & cocoa	2014	Saga-shi	638
Other beverages	2014	Saga-shi	1579
Alcoholic beverages	2014	Saga-shi	1900
Meals outside the home	2014	Saga-shi	11891
Eating out	2014	Saga-shi	11545
School lunch	2014	Saga-shi	346
Charges for board	2014	Saga-shi	0
Housing	2014	Saga-shi	13782
Rents for dwelling & land	2014	Saga-shi	9008
Repairs & maintenance	2014	Saga-shi	4774
Tools & materials for repairs & maintenance	2014	Saga-shi	1090
Service charges for repairs & maintenance	2014	Saga-shi	3685
Fuel, light & water charges	2014	Saga-shi	15996
Electricity	2014	Saga-shi	7457
Gas	2014	Saga-shi	3834
Other fuel & light	2014	Saga-shi	962
Water & sewerage charges	2014	Saga-shi	3743
Furniture & household utensils	2014	Saga-shi	6478
Household durable goods	2014	Saga-shi	2008
Durable goods assisting housework	2014	Saga-shi	1252
Heating & cooling appliances	2014	Saga-shi	645
General furniture	2014	Saga-shi	110
Interior furnishings & decorations	2014	Saga-shi	451
Bedding	2014	Saga-shi	316
Domestic utensils	2014	Saga-shi	980
Domestic non-durable goods	2014	Saga-shi	1543
Domestic services	2014	Saga-shi	1180
Clothing & footwear	2014	Saga-shi	7311
Japanese clothing	2014	Saga-shi	14
Clothing	2014	Saga-shi	2816
Shirts & sweaters	2014	Saga-shi	1407
Underwear	2014	Saga-shi	653
Cloth & thread	2014	Saga-shi	122
Other clothing	2014	Saga-shi	585
Footwear	2014	Saga-shi	1172
Services related to clothing	2014	Saga-shi	542
Medical care	2014	Saga-shi	8820
Medicines	2014	Saga-shi	2005
Health fortification	2014	Saga-shi	663
Medical supplies & appliances	2014	Saga-shi	1172
Medical services	2014	Saga-shi	4980
Transportation & communication	2014	Saga-shi	25758
Public transportation	2014	Saga-shi	2249
Private transportation	2014	Saga-shi	13538
Purchase of vehicles	2014	Saga-shi	2042
Purchase of bicycles	2014	Saga-shi	40
Maintenance of vehicles	2014	Saga-shi	11457
Communication	2014	Saga-shi	9970
Education	2014	Saga-shi	4929
Culture & recreation	2014	Saga-shi	20252
Recreational durable goods	2014	Saga-shi	2479
Recreational goods	2014	Saga-shi	4159
Books & other reading materials	2014	Saga-shi	2797
Recreational services	2014	Saga-shi	10817
Accommodation services	2014	Saga-shi	538
Package tours	2014	Saga-shi	2620
Lesson fees	2014	Saga-shi	2025
Other recreational services	2014	Saga-shi	5634
Other consumption expenditures	2014	Saga-shi	48069
Miscellaneous	2014	Saga-shi	16264
Personal care services	2014	Saga-shi	2369
Personal care goods	2014	Saga-shi	3218
Personal effects	2014	Saga-shi	1340
Tobacco	2014	Saga-shi	970
Other miscellaneous	2014	Saga-shi	8367
Pocket money (of which, detailed uses unknown)	2014	Saga-shi	5124
Social expenses	2014	Saga-shi	22709
Other goods & services	2014	Saga-shi	1050
Money gifts	2014	Saga-shi	10167
Other social expenses	2014	Saga-shi	3485
Remittance	2014	Saga-shi	3971
(Regrouped) Expenses for education	2014	Saga-shi	8762
(Regrouped) Expenses for culture & recreation	2014	Saga-shi	23281
(Regrouped) Intel exchange	2014	Saga-shi	12123
(Regrouped) Expense (except housing)	2014	Saga-shi	170195
(Regrouped) Sum of Goods & Services 1)	2014	Saga-shi	177410
Goods (commodities)	2014	Saga-shi	99867
Durable goods	2014	Saga-shi	9112
Semi-durable goods	2014	Saga-shi	14639
Non-durable goods	2014	Saga-shi	76116
Services	2014	Saga-shi	77543
Expenditures in kind	2014	Saga-shi	5574
Homemade	2014	Saga-shi	129
Engel's coefficient (%)	2014	Saga-shi	24.4
Distribution of households	2014	Nagasaki-shi	38
Num. of tabulated households	2014	Nagasaki-shi	100
Num. of persons per household (persons)	2014	Nagasaki-shi	2.18
Num. of earners per household (persons)	2014	Nagasaki-shi	0.91
Age of household heads (years old)	2014	Nagasaki-shi	60.5
Rate of owned dwellings (%)	2014	Nagasaki-shi	69.9
Rate of rented dwellings & land (%)	2014	Nagasaki-shi	23.3
Consumption expenditures	2014	Nagasaki-shi	212678
Food	2014	Nagasaki-shi	52475
Cereals	2014	Nagasaki-shi	4700
Rice	2014	Nagasaki-shi	1783
Bread	2014	Nagasaki-shi	1761
Noodles	2014	Nagasaki-shi	883
Other cereals	2014	Nagasaki-shi	273
Fish & shellfish	2014	Nagasaki-shi	4711
Raw fish & shellfish	2014	Nagasaki-shi	2911
Salted & dried fish	2014	Nagasaki-shi	643
Fish-paste products	2014	Nagasaki-shi	736
Other processed fish	2014	Nagasaki-shi	421
Meat	2014	Nagasaki-shi	5086
Raw meat	2014	Nagasaki-shi	4071
Processed meat	2014	Nagasaki-shi	1015
Dairy products & eggs	2014	Nagasaki-shi	2558
Fresh milk	2014	Nagasaki-shi	877
Dairy products	2014	Nagasaki-shi	1035
Eggs	2014	Nagasaki-shi	646
Vegetables & seaweeds	2014	Nagasaki-shi	5849
Fresh vegetables	2014	Nagasaki-shi	3875
Dried vegetables & seaweeds	2014	Nagasaki-shi	521
Soybean products	2014	Nagasaki-shi	739
