variable	year	city	value
Coffee & cocoa	2020	Aomori-shi	925
Other beverages	2020	Aomori-shi	2617
Alcoholic beverages	2020	Aomori-shi	4019
Meals outside the home	2020	Aomori-shi	6071
Eating out	2020	Aomori-shi	5464
School lunch	2020	Aomori-shi	607
Charges for board	2020	Aomori-shi	0
Housing	2020	Aomori-shi	15937
Rents for dwelling & land	2020	Aomori-shi	5992
Repairs & maintenance	2020	Aomori-shi	9945
Tools & materials for repairs & maintenance	2020	Aomori-shi	1424
Service charges for repairs & maintenance	2020	Aomori-shi	8521
Fuel, light & water charges	2020	Aomori-shi	24072
Electricity	2020	Aomori-shi	10532
Gas	2020	Aomori-shi	3219
Other fuel & light	2020	Aomori-shi	5625
Water & sewerage charges	2020	Aomori-shi	4697
Furniture & household utensils	2020	Aomori-shi	8709
Household durable goods	2020	Aomori-shi	2176
Durable goods assisting housework	2020	Aomori-shi	1200
Heating & cooling appliances	2020	Aomori-shi	673
General furniture	2020	Aomori-shi	303
Interior furnishings & decorations	2020	Aomori-shi	526
Bedding	2020	Aomori-shi	773
Domestic utensils	2020	Aomori-shi	1464
Domestic non-durable goods	2020	Aomori-shi	2643
Domestic services	2020	Aomori-shi	1127
Clothing & footwear	2020	Aomori-shi	5970
Japanese clothing	2020	Aomori-shi	9
Clothing	2020	Aomori-shi	1990
Shirts & sweaters	2020	Aomori-shi	1230
Underwear	2020	Aomori-shi	704
Cloth & thread	2020	Aomori-shi	113
Other clothing	2020	Aomori-shi	599
Footwear	2020	Aomori-shi	898
Services related to clothing	2020	Aomori-shi	426
Medical care	2020	Aomori-shi	10482
Medicines	2020	Aomori-shi	2304
Health fortification	2020	Aomori-shi	1011
Medical supplies & appliances	2020	Aomori-shi	2377
Medical services	2020	Aomori-shi	4790
Transportation & communication	2020	Aomori-shi	25119
Public transportation	2020	Aomori-shi	2440
Private transportation	2020	Aomori-shi	12312
Purchase of vehicles	2020	Aomori-shi	1698
Purchase of bicycles	2020	Aomori-shi	23
Maintenance of vehicles	2020	Aomori-shi	10592
Communication	2020	Aomori-shi	10366
Education	2020	Aomori-shi	2757
Culture & recreation	2020	Aomori-shi	15612
Recreational durable goods	2020	Aomori-shi	590
Recreational goods	2020	Aomori-shi	4275
Books & other reading materials	2020	Aomori-shi	3309
Recreational services	2020	Aomori-shi	7438
Accommodation services	2020	Aomori-shi	411
Package tours	2020	Aomori-shi	313
Lesson fees	2020	Aomori-shi	1073
Other recreational services	2020	Aomori-shi	5641
Other consumption expenditures	2020	Aomori-shi	42129
