(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2018,210,11,7,641274,420978,0,0,0,0,0,0,0,0,1,1,99190,99190,3,1,136168,18489,1,0,3427,0,1,1,34973,34973,1,1,34973,34973,0,0,0,0,1,1,99190,99190,2,1,198380,99190,1,1,34973,34973,0,0,0,0
2018,213,68,36,1629614,838477,3,3,73919,73919,11,5,145118,55773,6,3,67124,41048,9,4,113732,65840,3,1,89985,23876,4,2,150796,75398,8,5,206710,107436,6,3,198548,99274,5,3,174672,99274,4,2,103240,41665,5,3,154974,79576,4,2,150796,75398
2018,215,12,6,148438,89002,2,1,12680,6340,1,1,28994,28994,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12680,6340,1,1,19458,19458,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16181,16181,5,1,58445,11689
2018,217,848,261,11140424,3908734,30,12,501017,233747,47,16,844151,258730,60,21,659723,256124,66,18,873721,292012,82,26,1057403,336617,93,26,1065799,334145,84,27,1054240,487860,98,30,1298531,394673,66,22,784931,298052,89,23,998702,320960,72,22,1204217,437272,61,18,797989,258542
2018,218,7,7,235889,235889,1,1,34573,34573,2,2,62124,62124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34573,34573,1,1,34873,34873,0,0,0,0,1,1,34873,34873,0,0,0,0,1,1,34873,34873
2018,219,71,26,730445,297543,3,1,33039,11013,0,0,0,0,6,3,75802,39670,3,1,33039,11013,4,1,44052,11013,1,0,11013,0,5,3,61251,39225,6,3,61058,28019,3,3,39225,39225,11,4,108570,41923,15,3,105385,21077,14,4,158011,55365
2018,220,91,44,2541516,1216217,10,6,260408,159504,3,2,48632,39521,12,5,325850,151206,8,4,210066,105033,7,4,186394,99817,6,3,184712,92356,10,4,303962,122766,8,4,248271,120014,6,3,187358,89573,9,4,256205,112679,6,2,158724,34175,6,3,170934,89573
2018,221,1607,602,19644195,9199842,160,66,1971146,1046279,137,49,1708915,686856,138,50,1376042,660838,136,56,1604884,818176,162,60,1538717,674348,151,51,1641730,661424,156,57,1858500,764344,122,44,1216165,630196,123,45,1899789,978847,134,49,2252612,883061,87,35,1127699,641167,101,40,1447996,754306
2018,222,1,1,7658,7658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7658,7658,0,0,0,0,0,0,0,0,0,0,0,0
2018,224,831,741,585658,381493,61,52,61594,36968,85,69,83982,44024,89,68,112012,53475,80,71,66830,44192,68,66,35157,30842,75,72,28067,24917,57,55,22732,14329,56,49,32601,23716,46,43,24069,23824,81,78,29782,25856,80,71,50958,32269,53,47,37874,27081
